# Class	OvrStry	Rarc	Rmin	JANLAI	FEBLAI	MARLAI	APRLAI	MAYLAI	JUNLAI	JULLAI	AUGLAI	SEPLAI	OCTLAI	NOVLAI	DECLAI	JANALB	FEB_ALB	MARALB	APRALB	MAYALB	JUNALB	JULALB	AUGALB	SEPALB	OCTALB	NOVALB	DECALB	JANROU	FEBROU	MARROU	APRROU	MAYROU	JUNROU	JULROU	AUGROU	SEPROU	OCTROU	NOVROU	DECROU	JANDIS	FEBDIS	MARDIS	APRDIS	MAYDIS	JUNDIS	JULDIS	AUGDIS	SEPDIS	OCTDIS	NOVDIS	DECDIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1	0	2	100	2.34	2.42	2.15	2.41	2.32	2.17	2.93	2.12	2.34	2.11	2.54	2.34	0.0953	0.1024	0.1129	0.1129	0.1235	0.9	0.1271	0.1306	0.1235	0.12	0.1024	0.1059	0.062	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.335	2.5	100	0.5	0.5	0.2	UrbanandBuildUpland
2	0	2	100	4.94	5.27	6.15	6.15	5.13	7	5.19	4.89	6.42	7	5.49	4.12	0.0953	0.1024	0.1129	0.1129	0.1235	0.9	0.1271	0.1306	0.1235	0.12	0.1024	0.1059	0.062	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.335	2.5	100	0.5	0.5	0.2	DrylandCroplandandPasture
3	0	2	100	3.76	3.95	3.95	3.95	5.24	4.64	4.42	7	5.6	7	4.75	7	0.0953	0.0988	0.1024	0.1024	0.1129	0.1129	0.1165	0.1341	0.1235	0.1235	0.1059	0.1024	0.049	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.268	2.4	100	0.5	0.5	0.2	IrrigatedCroplandandPasture
5	0	2	100	0.88	1.02	0.82	0.82	2.44	2.25	7	4.01	2	1.29	0.8	1.13	0.0953	0.1553	0.1694	0.12	0.12	0.1024	0.1235	0.1059	0.0953	0.1165	0.1518	0.1094	0.049	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.268	2.4	100	0.5	0.5	0.2	CroplandGrasslandMosaic
6	0	2	100	0.58	0.91	0.3	0.3	1.02	1.65	7	7	1.43	0.82	0.88	0.63	0.1059	0.3282	0.3247	0.1729	0.12	0.1165	0.1306	0.1165	0.1094	0.1306	0.1482	0.1165	0.049	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.268	2.4	100	0.5	0.5	0.2	CroplandWoodlandMosaic
7	0	2	100	0.66	0.66	0.58	0.58	0.49	0.88	7	1.89	1.59	1.45	1.1	0.82	0.1341	0.1341	0.1341	0.1341	0.1376	0.1412	0.1447	0.1376	0.1271	0.1235	0.1271	0.1341	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	2.3	80	0.5	0.5	0.2	Grassland
8	0	2	100	0.93	1.1	0.88	0.88	1.43	2.88	2.85	7	2.22	1.26	1.18	0.88	0.0918	0.1129	0.1165	0.1129	0.1094	0.1024	0.1165	0.1094	0.0988	0.0988	0.0988	0.0882	0.074	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.402	2.6	80	0.5	0.5	0.2	Shrubland
10	0	2	100	0.74	0.93	1.26	1.26	1.48	1.7	1.1	1.13	1.87	7	1.87	1.76	0.1518	0.1447	0.9	0.1412	0.1447	0.9	0.9	0.9	0.1518	0.1659	0.1588	0.1553	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	2.3	30	0.5	0.5	0.2	Savanna
11	1	2	100	3.51	3.35	2.88	2.88	2.64	4.53	4.67	2.77	4.72	5.38	4.61	4.31	0.1306	0.1306	0.1306	0.1271	0.1271	0.1271	0.1376	0.1447	0.1447	0.1412	0.1412	0.1376	1.23	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	6.7	12	30	0.5	0.5	0.2	DeciduousBroadleafForest
13	1	2	100	4.56	4.2	5.27	5.27	5.71	5.9	5.63	5.82	6.51	5.44	5.85	5.71	0.1165	0.1165	0.12	0.1165	0.1306	0.1341	0.1376	0.1447	0.1306	0.1306	0.1271	0.1341	1.845	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	0.201	10.05	17	30	0.5	0.5	0.2	EvergreenBroadleafForest
